player,year,pos,college,dob,age_season_start,height,weight,years_exp,team,games_played,games_started,rec_tgt,rec,rec_yds,rec_td,fpts_standard,stats_rank
aj brown,2023,WR,Mississippi,1997-06-30,26.18904109589041,73,226,4,['PHI'],17,17,158,106,1456,7,185.6,7.0
aj brown,2024,WR,Mississippi,1997-06-30,27.19178082191781,73,226,5,['PHI'],13,13,97,67,1079,7,149.9,14.0
calvin ridley,2023,WR,Alabama,1994-12-20,28.71780821917808,73,190,5,['JAX'],17,17,136,76,1016,8,150.89999999999998,16.0
calvin ridley,2024,WR,Alabama,1994-12-20,29.72054794520548,73,190,6,['TEN'],17,14,120,64,1017,4,136.2,21.0
tyreek hill,2022,WR,"Garden City (KS),Oklahoma St.,West Alabama",1994-03-01,28.523287671232875,70,191,6,['MIA'],17,17,170,119,1710,7,227.2,3.0
tyreek hill,2023,WR,"Garden City (KS),Oklahoma St.,West Alabama",1994-03-01,29.523287671232875,70,191,7,['MIA'],16,16,171,119,1799,13,258.4,2.0
tyreek hill,2024,WR,"Garden City (KS),Oklahoma St.,West Alabama",1994-03-01,30.526027397260275,70,191,8,['MIA'],17,17,123,81,959,6,137.2,20.0
jaylen waddle,2022,WR,Alabama,1998-11-25,23.783561643835615,70,185,1,['MIA'],17,17,117,75,1356,8,185.2,7.0
jaylen waddle,2023,WR,Alabama,1998-11-25,24.783561643835615,70,185,2,['MIA'],14,14,104,72,1014,4,126.6,29.0
jaylen waddle,2024,WR,Alabama,1998-11-25,25.786301369863015,70,185,3,['MIA'],15,15,83,58,744,2,87.60000000000001,47.0
devonta smith,2022,WR,Alabama,1998-11-14,23.813698630136987,72,170,1,['PHI'],17,17,136,95,1196,7,160.6,10.0
devonta smith,2023,WR,Alabama,1998-11-14,24.813698630136987,72,170,2,['PHI'],16,16,112,81,1066,7,147.6,19.0
devonta smith,2024,WR,Alabama,1998-11-14,25.816438356164383,72,170,3,['PHI'],13,13,89,68,833,8,131.39999999999998,24.0
nico collins,2022,WR,Michigan,1999-03-19,23.471232876712328,76,222,1,['HOU'],10,7,66,37,481,2,60.1,70.0
nico collins,2023,WR,Michigan,1999-03-19,24.471232876712328,76,222,2,['HOU'],15,10,109,80,1297,8,177.39999999999998,8.0
nico collins,2024,WR,Michigan,1999-03-19,25.473972602739725,76,222,3,['HOU'],12,12,99,68,1006,7,142.6,17.0
jerry jeudy,2022,WR,Alabama,1999-04-24,23.372602739726027,73,195,2,['DEN'],15,14,100,67,972,6,137.2,18.0
jerry jeudy,2023,WR,Alabama,1999-04-24,24.372602739726027,73,195,3,['DEN'],16,11,87,54,758,2,87.8,47.0
jerry jeudy,2024,WR,Alabama,1999-04-24,25.375342465753423,73,195,4,['CLE'],17,16,145,90,1229,4,146.9,16.0
mike evans,2022,WR,Texas A&M,1993-08-21,29.04931506849315,77,231,8,['TB'],15,15,127,77,1124,6,148.4,15.0
mike evans,2023,WR,Texas A&M,1993-08-21,30.04931506849315,77,231,9,['TB'],17,17,136,79,1255,13,203.5,4.0
mike evans,2024,WR,Texas A&M,1993-08-21,31.052054794520547,77,231,10,['TB'],14,14,110,74,1004,11,166.4,5.0
darnell mooney,2022,WR,Tulane,1997-10-29,24.85753424657534,71,177,2,['CHI'],12,12,61,40,493,2,61.5,68.0
darnell mooney,2023,WR,Tulane,1997-10-29,25.85753424657534,71,177,3,['CHI'],15,14,61,31,414,1,47.9,78.0
darnell mooney,2024,WR,Tulane,1997-10-29,26.86027397260274,71,177,4,['ATL'],16,16,106,64,992,5,129.2,26.0
curtis samuel,2022,WR,Ohio St.,1996-08-11,26.07397260273973,71,195,5,['WAS'],17,12,92,64,656,4,113.3,29.0
curtis samuel,2023,WR,Ohio St.,1996-08-11,27.07397260273973,71,195,6,['WAS'],16,13,91,62,613,4,95.2,44.0
curtis samuel,2024,WR,Ohio St.,1996-08-11,28.076712328767123,71,195,7,['BUF'],14,2,46,31,253,1,32.7,96.0
jauan jennings,2022,WR,Tennessee,1997-07-10,25.16164383561644,75,212,1,['SF'],16,4,56,35,416,1,46.6,84.0
jauan jennings,2023,WR,Tennessee,1997-07-10,26.16164383561644,75,212,2,['SF'],13,2,33,19,265,1,32.5,98.0
jauan jennings,2024,WR,Tennessee,1997-07-10,27.16438356164383,75,212,3,['SF'],15,10,113,77,975,6,132.5,23.0
rashid shaheed,2022,WR,Weber St.,1998-08-31,24.019178082191782,72,180,0,['NO'],12,6,34,28,488,2,71.5,54.0
rashid shaheed,2023,WR,Weber St.,1998-08-31,25.019178082191782,72,180,1,['NO'],15,8,75,46,719,5,104.6,37.0
rashid shaheed,2024,WR,Weber St.,1998-08-31,26.02191780821918,72,180,2,['NO'],6,5,41,20,349,3,54.8,76.0
ray-ray mccloud,2022,WR,Clemson,1996-10-15,25.895890410958906,69,190,4,['SF'],17,2,25,14,243,1,42.1,94.0
ray-ray mccloud,2023,WR,Clemson,1996-10-15,26.895890410958906,69,190,5,['SF'],12,1,15,12,135,0,15.5,126.0
ray-ray mccloud,2024,WR,Clemson,1996-10-15,27.898630136986306,69,190,6,['ATL'],17,13,87,62,686,1,78.5,54.0
brandon powell,2022,WR,Florida,1995-09-12,26.98904109589041,68,181,4,['LAR'],17,6,32,24,156,0,22.6,114.0
brandon powell,2023,WR,Florida,1995-09-12,27.98904109589041,68,181,5,['MIN'],17,2,44,29,324,1,39.1,88.0
brandon powell,2024,WR,Florida,1995-09-12,28.991780821917807,68,181,6,['MIN'],17,1,10,7,71,0,6.1,143.0
deonte harty,2022,WR,Assumption,1997-12-04,24.75890410958904,66,170,3,['NO'],4,0,2,2,13,0,-0.7,183.0
deonte harty,2023,WR,Assumption,1997-12-04,25.75890410958904,66,170,4,['BUF'],16,1,21,15,150,1,19.0,118.0
deonte harty,2024,WR,Assumption,1997-12-04,26.76164383561644,66,170,5,['BAL'],5,0,0,0,0,0,0.0,167.0
nsimba webster,2022,WR,Eastern Washington,1996-01-27,26.613698630136987,70,180,3,['CHI'],2,0,3,2,14,0,0.3999999999999999,177.0
