player,year,pos,college,dob,age_season_start,height,weight,years_exp,team,rec_tgt,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fum,total_yds,games_played,games_started,share_rec_tgt,share_rec,share_rec_yds,share_rec_td,share_rush_att,share_rush_yds,share_rush_td,catch_rate,yds_per_catch,rec_yds_per_game,rec_per_game,tgt_per_game,yds_per_rush,rush_att_per_game,rush_yds_per_game,fpts_standard,fpts_half_ppr,fpts_ppr,fpts_ppr_f1,adp,adp_f1,depth,depth_f1,is_majorly_injured
aaron jones,2019,RB,Texas-El Paso,1994-12-02,24.764383561643836,69,208,2,['GB'],68,49,474,3,236,1084,16,3.0,1558,16,16,0.12546125461254612,0.13764044943820225,0.1179985063480209,0.11538461538461539,0.6555555555555556,0.6695491043854231,0.9411764705882353,0.7206,9.67,29.6,3.06,4.25,4.59,14.75,67.7,266.8,291.3,315.8,256.9,25.5,16.2,1.0,1.0,0
aaron jones,2020,RB,Texas-El Paso,1994-12-02,25.767123287671232,69,208,3,['GB'],63,47,355,2,201,1104,9,2.0,1459,14,14,0.12625250501002003,0.12668463611859837,0.08246225319396051,0.041666666666666664,0.5127551020408163,0.5581395348837209,0.6923076923076923,0.746,7.55,25.4,3.36,4.5,5.49,14.36,78.9,209.9,233.4,256.9,229.0,16.2,7.3,1.0,1.0,0
aaron jones,2021,RB,Texas-El Paso,1994-12-02,26.767123287671232,69,208,4,['GB'],65,52,391,6,171,799,4,2.0,1190,15,15,0.11423550087873462,0.12967581047381546,0.08631346578366446,0.15384615384615385,0.42857142857142855,0.4506486181613085,0.4,0.8,7.52,26.1,3.47,4.33,4.67,11.4,53.3,177.0,203.0,229.0,247.6,7.3,14.6,1.0,1.0,0
aaron jones,2022,RB,Texas-El Paso,1994-12-02,27.767123287671232,69,208,5,['GB'],72,59,395,5,213,1121,2,5.0,1516,17,17,0.13358070500927643,0.1620879120879121,0.10154241645244216,0.18518518518518517,0.5071428571428571,0.554950495049505,0.18181818181818182,0.8194,6.69,23.2,3.47,4.24,5.26,12.53,65.9,188.6,218.1,247.6,134.89999999999998,14.6,41.0,1.0,1.0,0
aaron jones,2023,RB,Texas-El Paso,1994-12-02,28.767123287671232,69,208,6,['GB'],43,30,233,1,142,656,2,2.0,889,11,11,0.0766488413547237,0.08021390374331551,0.05534441805225653,0.03125,0.3669250645994832,0.39781685870224376,0.3333333333333333,0.6977,7.77,21.2,2.73,3.91,4.62,12.91,59.6,104.89999999999999,119.89999999999999,134.89999999999998,242.6,41.0,52.0,1.0,1.0,0
aaron jones,2024,RB,Texas-El Paso,1994-12-02,29.76986301369863,69,208,7,['MIN'],62,51,408,2,255,1138,5,5.0,1546,17,17,0.11992263056092843,0.1401098901098901,0.0931719570678237,0.05714285714285714,0.6589147286821705,0.6917933130699088,0.625,0.8226,8.0,24.0,3.0,3.65,4.46,15.0,66.9,191.6,217.1,242.6,0.0,52.0,9999.0,1.0,3.0,0
aaron parker,2021,WR,Rhode Island,1998-05-21,23.2986301369863,75,191,1,['CAR'],0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,9999.0,3.0,3.0,0
aaron ripkowski,2015,FB,Oklahoma,1992-12-20,22.71232876712329,73,246,0,['GB'],1,1,18,0,0,0,0,0.0,18,15,0,0.0017699115044247787,0.0028735632183908046,0.004705882352941176,0.0,0.0,0.0,0.0,0.9999,18.0,1.2,0.07,0.07,0.0,0.0,0.0,1.8,2.3,2.8,46.6,9999.0,9999.0,2.0,1.0,0
aaron ripkowski,2016,FB,Oklahoma,1992-12-20,23.715068493150685,73,246,1,['GB'],10,9,46,1,34,150,2,0.0,196,16,8,0.016286644951140065,0.022332506203473945,0.010348706411698537,0.025,0.1118421052631579,0.11244377811094453,0.2857142857142857,0.9,5.11,2.9,0.56,0.62,4.41,2.12,9.4,37.6,42.1,46.6,12.2,460.0,246.0,1.0,1.0,0
aaron ripkowski,2017,FB,Oklahoma,1992-12-20,24.715068493150685,73,246,2,['GB'],10,7,39,0,5,13,0,0.0,52,16,2,0.018083182640144666,0.019943019943019943,0.011073253833049404,0.0,0.015384615384615385,0.00984102952308857,0.0,0.7,5.57,2.4,0.44,0.62,2.6,0.31,0.8,5.2,8.7,12.2,0.0,246.0,9999.0,1.0,1.0,0
aaron shampklin,2024,RB,Harvard,1999-10-18,24.89041095890411,70,195,1,['PIT'],0,0,0,0,6,17,0,0.0,17,3,0,0.0,0.0,0.0,0.0,0.014018691588785047,0.009872241579558653,0.0,0.0,0.0,0.0,0.0,0.0,2.83,2.0,5.7,1.7,1.7,1.7,0.0,9999.0,9999.0,3.0,3.0,0
aaron stecker,2009,RB,"Wisconsin,Western Illinois",1975-11-13,33.824657534246576,70,213,9,['ATL'],5,5,34,0,5,15,0,0.0,49,9,0,0.009140767824497258,0.015060240963855422,0.009196645929131728,0.0,0.012048192771084338,0.008228195282501372,0.0,1.0,6.8,3.8,0.56,0.56,3.0,0.56,1.7,4.9,7.4,9.9,0.0,9999.0,9999.0,3.0,3.0,0
ace sanders,2013,WR,South Carolina,1991-11-11,21.82191780821918,67,173,0,['JAX'],87,51,484,1,2,4,0,0.0,488,15,4,0.14897260273972604,0.14655172413793102,0.1293425975414217,0.0625,0.005865102639296188,0.0034752389226759338,0.0,0.5862,9.49,32.3,3.4,5.8,2.0,0.13,0.3,54.8,80.3,105.8,9.5,9999.0,9999.0,2.0,3.0,0
ace sanders,2014,WR,South Carolina,1991-11-11,22.82191780821918,67,173,1,['JAX'],7,6,55,0,0,0,0,2.0,55,12,0,0.012658227848101266,0.018461538461538463,0.015942028985507246,0.0,0.0,0.0,0.0,0.8571,9.17,4.6,0.5,0.58,0.0,0.0,0.0,3.5,6.5,9.5,0.0,9999.0,9999.0,3.0,3.0,0
adam humphries,2015,WR,Clemson,1993-06-24,22.202739726027396,71,195,0,['TB'],40,27,260,1,0,0,0,0.0,260,13,0,0.0761904761904762,0.08653846153846154,0.06432459178624443,0.045454545454545456,0.0,0.0,0.0,0.675,9.63,20.0,2.08,3.08,0.0,0.0,0.0,32.0,45.5,59.0,128.0,9999.0,9999.0,5.0,2.0,0
adam humphries,2016,WR,Clemson,1993-06-24,23.205479452054796,71,195,1,['TB'],83,55,622,2,5,18,0,3.0,640,15,4,0.14535901926444833,0.15492957746478872,0.14933973589435776,0.06896551724137931,0.0125,0.012405237767057202,0.0,0.6626,11.31,41.5,3.67,5.53,3.6,0.33,1.2,73.0,100.5,128.0,129.7,283.0,211.0,2.0,2.0,0
adam humphries,2017,WR,Clemson,1993-06-24,24.205479452054796,71,195,2,['TB'],83,61,631,1,1,6,0,1.0,637,16,3,0.13949579831932774,0.16180371352785147,0.13702497285559176,0.04,0.002932551319648094,0.004850444624090542,0.0,0.7349,10.34,39.4,3.81,5.19,6.0,0.06,0.4,68.7,99.2,129.7,186.7,211.0,224.0,2.0,2.0,0
adam humphries,2018,WR,Clemson,1993-06-24,25.205479452054796,71,195,3,['TB'],105,76,816,5,2,11,0,2.0,827,16,10,0.16962843295638125,0.18627450980392157,0.1522956326987682,0.1388888888888889,0.006578947368421052,0.010091743119266056,0.0,0.7238,10.74,51.0,4.75,6.56,5.5,0.12,0.7,110.69999999999999,148.7,186.7,85.5,224.0,194.0,2.0,1.0,0
adam humphries,2019,WR,Clemson,1993-06-24,26.205479452054796,71,195,4,['TEN'],47,37,374,2,1,1,0,1.0,375,12,3,0.11084905660377359,0.12585034013605442,0.09485163581029672,0.07407407407407407,0.002652519893899204,0.0005238344683080147,0.0,0.7872,10.11,31.2,3.08,3.92,1.0,0.08,0.1,48.5,67.0,85.5,57.8,194.0,190.0,1.0,1.0,0
adam humphries,2020,WR,Clemson,1993-06-24,27.208219178082192,71,195,5,['TEN'],35,23,228,2,0,0,0,0.0,228,7,1,0.07510729613733906,0.07301587301587302,0.059592263460533194,0.06060606060606061,0.0,0.0,0.0,0.6571,9.91,32.6,3.29,5.0,0.0,0.0,0.0,34.8,46.3,57.8,79.3,190.0,228.0,1.0,1.0,1
adam humphries,2021,WR,Clemson,1993-06-24,28.208219178082192,71,195,6,['WAS'],62,41,383,0,0,0,0,0.0,383,17,11,0.11610486891385768,0.11549295774647887,0.10218783351120597,0.0,0.0,0.0,0.0,0.6613,9.34,22.5,2.41,3.65,0.0,0.0,0.0,38.3,58.8,79.3,0.0,228.0,9999.0,1.0,3.0,0
adam jennings,2009,WR,Fresno St.,1982-11-17,26.80821917808219,69,180,3,['DET'],0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,9999.0,3.0,3.0,0
adam prentice,2021,FB,South Carolina,1997-01-16,24.64109589041096,72,245,0,['NO'],3,3,16,0,3,5,0,0.0,21,7,3,0.00641025641025641,0.010380622837370242,0.004726735598227474,0.0,0.007575757575757576,0.0035087719298245615,0.0,1.0,5.33,2.3,0.43,0.43,1.67,0.43,0.7,2.1,3.6,5.1,3.8,9999.0,9999.0,3.0,3.0,0
adam prentice,2022,FB,South Carolina,1997-01-16,25.64109589041096,72,245,1,['NO'],3,3,9,0,4,9,0,1.0,18,11,2,0.006085192697768763,0.008875739644970414,0.0022675736961451248,0.0,0.009302325581395349,0.004707112970711297,0.0,1.0,3.0,0.8,0.27,0.27,2.25,0.36,0.8,0.8,2.3,3.8,3.4,496.0,699.0,1.0,1.0,0
adam prentice,2023,FB,South Carolina,1997-01-16,26.64109589041096,72,245,2,['NO'],3,2,12,0,2,12,0,1.0,24,13,1,0.0055658627087198514,0.005361930294906166,0.003050330452465684,0.0,0.0055248618784530384,0.009181331293037491,0.0,0.6666,6.0,0.9,0.15,0.23,6.0,0.15,0.9,1.4,2.4,3.4,0.0,699.0,782.0,1.0,1.0,0
adam prentice,2024,FB,South Carolina,1997-01-16,27.643835616438356,72,245,3,['NO'],4,0,0,0,0,0,0,0.0,0,17,7,0.00823045267489712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.0,9999.0,1.0,3.0,0
adam shaheen,2017,TE,Ashland,1994-10-24,22.87123287671233,79,257,0,['CHI'],14,12,127,3,0,0,0,0.0,127,13,7,0.029914529914529916,0.041237113402061855,0.041193642555951995,0.23076923076923078,0.0,0.0,0.0,0.8571,10.58,9.8,0.92,1.08,0.0,0.0,0.0,30.7,36.7,42.7,15.8,341.0,340.0,3.0,3.0,0
adam shaheen,2018,TE,Ashland,1994-10-24,23.87123287671233,79,257,1,['CHI'],6,5,48,1,0,0,0,0.0,48,6,4,0.01195219123505976,0.014619883040935672,0.012844527696012844,0.037037037037037035,0.0,0.0,0.0,0.8333,9.6,8.0,0.83,1.0,0.0,0.0,0.0,10.8,13.3,15.8,15.4,340.0,388.0,3.0,2.0,0
adam shaheen,2019,TE,Ashland,1994-10-24,24.87123287671233,79,257,2,['CHI'],13,9,74,0,0,0,0,1.0,74,8,2,0.022968197879858657,0.02425876010781671,0.020710887209627764,0.0,0.0,0.0,0.0,0.6923,8.22,9.2,1.12,1.62,0.0,0.0,0.0,6.4,10.9,15.4,45.0,388.0,402.0,2.0,2.0,0
adam shaheen,2020,TE,Ashland,1994-10-24,25.873972602739727,79,257,3,['MIA'],22,12,150,3,0,0,0,0.0,150,16,5,0.040293040293040296,0.032520325203252036,0.0381000762001524,0.125,0.0,0.0,0.0,0.5455,12.5,9.4,0.75,1.37,0.0,0.0,0.0,33.0,39.0,45.0,23.0,402.0,443.0,2.0,1.0,0
adam shaheen,2021,TE,Ashland,1994-10-24,26.873972602739727,79,257,4,['MIA'],16,12,110,0,0,0,0,0.0,110,12,7,0.026755852842809364,0.02977667493796526,0.02795425667090216,0.0,0.0,0.0,0.0,0.75,9.17,9.2,1.0,1.33,0.0,0.0,0.0,11.0,17.0,23.0,0.0,443.0,9999.0,1.0,3.0,0
adam thielen,2014,WR,Minnesota St.,1990-08-22,24.043835616438358,74,195,0,['MIN'],14,8,137,1,0,0,0,0.0,137,16,2,0.027450980392156862,0.024844720496894408,0.03841839596186203,0.058823529411764705,0.0,0.0,0.0,0.5714,17.12,8.6,0.5,0.87,0.0,0.0,0.0,19.7,23.7,27.7,35.3,9999.0,9999.0,3.0,2.0,0
adam thielen,2014,WR,Minnesota St.,1990-08-22,24.043835616438358,74,195,0,['MIN'],14,8,137,1,0,0,0,0.0,137,16,2,0.027450980392156862,0.024844720496894408,0.03841839596186203,0.058823529411764705,0.0,0.0,0.0,0.5714,17.12,8.6,0.5,0.87,0.0,0.0,0.0,19.7,23.7,27.7,35.3,9999.0,9999.0,2.0,2.0,0
adam thielen,2015,WR,Minnesota St.,1990-08-22,25.043835616438358,74,195,1,['MIN'],18,12,144,0,4,89,0,0.0,233,16,2,0.040632054176072234,0.04081632653061224,0.04436229205175601,0.0,0.009411764705882352,0.04384236453201971,0.0,0.6667,12.0,9.0,0.75,1.12,22.25,0.25,5.6,23.3,29.3,35.3,195.2,9999.0,9999.0,2.0,3.0,0
adam thielen,2016,WR,Minnesota St.,1990-08-22,26.046575342465754,74,195,2,['MIN'],92,69,967,5,2,15,0,2.0,982,16,10,0.15753424657534246,0.16707021791767554,0.23505104521147302,0.25,0.005633802816901409,0.013077593722755012,0.0,0.75,14.01,60.4,4.31,5.75,7.5,0.12,0.9,126.19999999999999,160.7,195.2,240.7,489.0,117.0,3.0,1.0,0
adam thielen,2017,WR,Minnesota St.,1990-08-22,27.046575342465754,74,195,3,['MIN'],143,91,1276,4,1,11,0,3.0,1287,16,16,0.2739463601532567,0.2549019607843137,0.3247645711376941,0.16,0.0021929824561403508,0.006100942872989462,0.0,0.6364,14.02,79.7,5.69,8.94,11.0,0.06,0.7,149.7,195.2,240.7,306.3,117.0,38.0,1.0,1.0,0
adam thielen,2018,WR,Minnesota St.,1990-08-22,28.046575342465754,74,195,4,['MIN'],155,113,1373,9,5,30,0,1.0,1403,16,16,0.26138279932546377,0.2665094339622642,0.3193765992091184,0.3,0.01597444089456869,0.021897810218978103,0.0,0.729,12.15,85.8,7.06,9.69,6.0,0.31,1.9,193.3,249.8,306.3,114.4,38.0,26.0,1.0,1.0,0
adam thielen,2019,WR,Minnesota St.,1990-08-22,29.046575342465754,74,195,5,['MIN'],48,30,418,6,4,6,1,0.0,424,10,10,0.10909090909090909,0.09433962264150944,0.11197428341816233,0.23076923076923078,0.009111617312072893,0.002891566265060241,0.05555555555555555,0.625,13.93,41.8,3.0,4.8,1.5,0.4,0.6,84.4,99.4,114.4,252.0,26.0,30.6,1.0,1.0,0
adam thielen,2020,WR,Minnesota St.,1990-08-22,30.04931506849315,74,195,6,['MIN'],108,74,925,14,3,15,0,0.0,940,15,15,0.22268041237113403,0.21203438395415472,0.21688159437280188,0.4,0.006880733944954129,0.007052186177715092,0.0,0.6852,12.5,61.7,4.93,7.2,5.0,0.2,1.0,178.0,215.0,252.0,198.8,30.6,48.5,1.0,1.0,0
adam thielen,2021,WR,Minnesota St.,1990-08-22,31.04931506849315,74,195,7,['MIN'],95,67,726,10,1,2,0,1.0,728,13,13,0.16464471403812825,0.16876574307304787,0.1639196206818695,0.29411764705882354,0.0023923444976076554,0.001110494169905608,0.0,0.7053,10.84,55.8,5.15,7.31,2.0,0.08,0.2,131.8,165.3,198.8,178.0,48.5,57.4,1.0,1.0,0
adam thielen,2022,WR,Minnesota St.,1990-08-22,32.04931506849315,74,195,8,['MIN'],107,70,716,6,1,4,0,0.0,720,17,17,0.1669266770670827,0.15625,0.14860938148609382,0.2,0.0027100271002710027,0.002570694087403599,0.0,0.6542,10.23,42.1,4.12,6.29,4.0,0.06,0.2,108.0,143.0,178.0,227.0,57.4,136.0,1.0,1.0,0
adam thielen,2023,WR,Minnesota St.,1990-08-22,33.04931506849315,74,195,9,['CAR'],137,103,1014,4,1,6,0,2.0,1020,17,17,0.2565543071161049,0.29428571428571426,0.31248073959938366,0.3076923076923077,0.0024875621890547263,0.0039603960396039604,0.0,0.7518,9.84,59.6,6.06,8.06,6.0,0.06,0.4,124.0,175.5,227.0,139.5,136.0,158.0,1.0,1.0,0
adam thielen,2024,WR,Minnesota St.,1990-08-22,34.05205479452055,74,195,10,['CAR'],62,48,615,5,0,0,0,0.0,615,10,10,0.11992263056092843,0.14076246334310852,0.1802990325417766,0.22727272727272727,0.0,0.0,0.0,0.7742,12.81,61.5,4.8,6.2,0.0,0.0,0.0,91.5,115.5,139.5,0.0,158.0,9999.0,1.0,3.0,0
adam trautman,2020,TE,Dayton,1997-02-05,23.586301369863012,77,253,0,['NO'],16,15,171,1,0,0,0,0.0,171,15,6,0.03225806451612903,0.04143646408839779,0.044450220951390694,0.037037037037037035,0.0,0.0,0.0,0.9375,11.4,11.4,1.0,1.07,0.0,0.0,0.0,23.1,30.6,38.1,64.3,435.0,324.0,3.0,1.0,0
adam trautman,2021,TE,Dayton,1997-02-05,24.586301369863012,77,253,1,['NO'],43,27,263,2,0,0,0,1.0,263,13,10,0.09188034188034189,0.09342560553633218,0.0776957163958641,0.06896551724137931,0.0,0.0,0.0,0.6279,9.74,20.2,2.08,3.31,0.0,0.0,0.0,37.3,50.8,64.3,44.7,324.0,396.0,1.0,1.0,0
adam trautman,2022,TE,Dayton,1997-02-05,25.586301369863012,77,253,2,['NO'],22,18,207,1,0,0,0,0.0,207,15,12,0.04462474645030426,0.05325443786982249,0.05215419501133787,0.041666666666666664,0.0,0.0,0.0,0.8182,11.5,13.8,1.2,1.47,0.0,0.0,0.0,26.7,35.7,44.7,60.4,396.0,696.0,1.0,2.0,0
adam trautman,2023,TE,Dayton,1997-02-05,26.586301369863012,77,253,3,['DEN'],35,22,204,3,0,0,0,0.0,204,17,12,0.07337526205450734,0.06528189910979229,0.05720695457094784,0.10714285714285714,0.0,0.0,0.0,0.6286,9.27,12.0,1.29,2.06,0.0,0.0,0.0,38.4,49.4,60.4,43.8,696.0,454.0,2.0,1.0,0
adam trautman,2024,TE,Dayton,1997-02-05,27.589041095890412,77,253,4,['DEN'],22,13,188,2,0,0,0,0.0,188,17,14,0.040145985401459854,0.03439153439153439,0.04939569101418812,0.06896551724137931,0.0,0.0,0.0,0.5909,14.46,11.1,0.76,1.29,0.0,0.0,0.0,30.8,37.3,43.8,0.0,454.0,9999.0,1.0,3.0,0
adonai mitchell,2024,WR,"Georgia,Texas",2002-10-08,21.915068493150685,74,205,0,['IND'],55,23,312,0,4,6,0,2.0,318,17,7,0.1120162932790224,0.0798611111111111,0.08666666666666667,0.0,0.00997506234413965,0.0033222591362126247,0.0,0.4182,13.57,18.4,1.35,3.24,1.5,0.24,0.4,29.8,41.3,52.8,0.0,137.0,9999.0,2.0,3.0,0
adrian arrington,2010,WR,Michigan,1985-11-07,24.832876712328765,74,185,0,['NO'],9,7,79,0,0,0,0,0.0,79,1,0,0.013910355486862442,0.015590200445434299,0.017066321019658673,0.0,0.0,0.0,0.0,0.7778,11.29,79.0,7.0,8.99,0.0,0.0,0.0,7.9,11.4,14.9,5.1,9999.0,9999.0,3.0,3.0,0
adrian arrington,2011,WR,Michigan,1985-11-07,25.832876712328765,74,185,1,['NO'],3,2,31,0,0,0,0,0.0,31,4,0,0.004573170731707317,0.00423728813559322,0.005631244323342416,0.0,0.0,0.0,0.0,0.6666,15.5,7.7,0.5,0.75,0.0,0.0,0.0,3.1,4.1,5.1,0.0,9999.0,9999.0,3.0,3.0,0
adrian killins,2020,RB,Central Florida,1998-01-02,22.67945205479452,68,164,0,['PHI'],1,1,2,0,1,-12,0,0.0,-10,1,0,0.0017857142857142857,0.003003003003003003,0.0005369127516778523,0.0,0.0034965034965034965,-0.008664259927797834,0.0,0.9999,2.0,2.0,1.0,1.0,-12.0,1.0,-12.0,-1.0,-0.5,0.0,0.0,1831.0,9999.0,3.0,3.0,0
adrian peterson,2009,RB,Georgia Southern,1979-07-01,30.19178082191781,70,212,7,['CHI'],2,2,11,0,7,51,0,0.0,62,14,0,0.0035971223021582736,0.0058823529411764705,0.002991569214033179,0.0,0.021021021021021023,0.03866565579984837,0.0,1.0,5.5,0.8,0.14,0.14,7.29,0.5,3.6,6.199999999999999,7.199999999999999,8.2,0.0,9999.0,9999.0,3.0,3.0,0
adrian peterson,2009,RB,Oklahoma,1985-03-21,24.465753424657535,73,220,2,['MIN'],57,43,436,0,314,1383,18,7.0,1819,16,15,0.10420475319926874,0.11436170212765957,0.09897843359818388,0.0,0.7120181405895691,0.7199375325351379,0.9473684210526315,0.7544,10.14,27.2,2.69,3.56,4.4,19.62,86.4,282.9,304.4,325.9,276.9,9999.0,9999.0,3.0,3.0,0
adrian peterson,2010,RB,Oklahoma,1985-03-21,25.465753424657535,73,220,3,['MIN'],50,36,341,1,283,1298,12,1.0,1639,15,15,0.09940357852882704,0.1180327868852459,0.10249474000601143,0.07142857142857142,0.7092731829573935,0.741290691033695,0.8571428571428571,0.72,9.47,22.7,2.4,3.33,4.59,18.87,86.5,240.9,258.9,276.9,206.2,9999.0,9999.0,3.0,3.0,0
adrian peterson,2011,RB,Oklahoma,1985-03-21,26.465753424657535,73,220,4,['MIN'],23,18,139,1,209,973,12,1.0,1112,12,12,0.04618473895582329,0.06315789473684211,0.04282193468884781,0.05,0.5471204188481675,0.5126448893572181,0.8,0.7826,7.72,11.6,1.5,1.92,4.66,17.42,81.1,188.2,197.2,206.2,345.4,9999.0,9999.0,1.0,1.0,0
adrian peterson,2012,RB,Oklahoma,1985-03-21,27.46849315068493,73,220,5,['MIN'],51,40,217,1,348,2097,12,4.0,2314,16,16,0.10669456066945607,0.13377926421404682,0.07355932203389831,0.05555555555555555,0.8188235294117647,0.8803526448362721,0.8571428571428571,0.7843,5.42,13.6,2.5,3.19,6.03,21.75,131.1,305.4,325.4,345.4,233.7,9999.0,9999.0,1.0,1.0,0
